date,biomass_mwh,solar_mwh,wind_mwh
2026/04/01,130.0,385.0,23.0
2026/04/02,0.0,0.0,0.0
2026/04/03,191.5,578.0,46.5
2026/04/04,234.0,0.0,0.0
2026/04/05,279.0,607.0,86.5
2026/04/06,179.0,0.0,0.0
2026/04/07,0.0,0.0,0.0
2026/04/08,284.5,1352.0,421.0
2026/04/09,284.5,207.5,351.0
2026/04/10,0.0,0.0,0.0
2026/04/11,225.0,784.0,315.5
2026/04/12,442.0,1589.5,618.5
2026/04/13,357.0,0.0,0.0
2026/04/14,180.5,0.0,0.0
2026/04/15,107.5,0.0,0.0
2026/04/16,0.0,0.0,0.0
2026/04/17,202.5,0.0,0.0
2026/04/18,123.5,0.0,58.5
2026/04/19,415.5,4054.5,296.0
2026/04/20,303.5,0.0,0.0
2026/04/21,266.0,0.0,0.0
2026/04/22,369.5,0.0,0.0
2026/04/23,0.0,0.0,0.0
2026/04/24,112.5,0.0,0.0
2026/04/25,566.0,3007.0,121.5
2026/04/26,566.0,3331.0,354.0
2026/04/27,0.0,0.0,0.0
2026/04/28,0.0,0.0,0.0
2026/04/29,0.0,0.0,0.0
2026/04/30,262.5,0.0,0.0
